0 0 0 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 0 0
160 0 0
170 0 0
180 0 0
190 0 0
200 0 0
210 0.000927697 0.271815
220 0.0014981 0.459917
230 0.00207924 0.669516
240 0.00272868 0.916836
250 0.00342639 1.19924
260 0.004073 1.48665
270 0.00487294 1.85172
280 0.00558172 2.20478
290 0.00630846 2.58016
300 0.00703498 2.98283
310 0.0076338 3.35124
320 0.00849118 3.84651
330 0.00925547 4.33156
340 0.0100777 4.86755
350 0.0108453 5.40096
360 0.0113982 5.83588
370 0.0120533 6.35208
380 0.0127725 6.9227
390 0.0136493 7.60264
400 0.014241 8.13163
410 0.0149305 8.76419
420 0.0154956 9.32834
430 0.0160574 9.89133
440 0.0167912 10.5952
450 0.0175257 11.3216
460 0.0180938 11.96
470 0.018621 12.6064
480 0.0193781 13.3902
490 0.0198136 14.0082
500 0.0203766 14.6915
510 0.0210676 15.5058
520 0.0214921 16.1406
530 0.0219992 16.8294
540 0.0225076 17.5784
550 0.0229783 18.2908
560 0.0236045 19.1668
570 0.0242876 20.0615
580 0.0247129 20.8083
590 0.0251673 21.5684
600 0.0257324 22.4386
610 0.0260021 23.0638
620 0.0264996 23.9027
630 0.0271183 24.8675
640 0.0273868 25.5245
650 0.0279274 26.4472
660 0.0283195 27.2434
670 0.0287779 28.116
680 0.0291046 28.8718
690 0.0295662 29.8027
700 0.0299853 30.645
710 0.0302939 31.445
720 0.0306229 32.2766
730 0.0311454 33.2633
740 0.0315353 34.1842
750 0.0317984 34.9464
760 0.0322604 35.9381
770 0.0326298 36.8717
780 0.0330093 37.7626
790 0.033322 38.6202
800 0.0334972 39.3592
810 0.034155 40.6445
820 0.0343511 41.4274
830 0.0347392 42.4166
840 0.0347402 42.9388
850 0.0352459 44.0574
860 0.0357496 45.2589
870 0.0360128 46.1324
880 0.0363094 47.0933
890 0.0365491 47.9524
900 0.0367845 48.813
910 0.0370486 49.7192
920 0.0373888 50.774
930 0.0375215 51.4795
940 0.0375917 52.1772
950 0.0379866 53.2952
960 0.0386004 54.774
970 0.0387337 55.5441
980 0.0388237 56.2555
990 0.0389939 57.0871
1000 0.0395118 58.517
1010 0.039575 59.125
1020 0.0399309 60.2956
1030 0.0401778 61.3113
1040 0.0404275 62.2988
1050 0.0406806 63.3397
1060 0.0410139 64.4329
1070 0.0410668 65.173
1080 0.0413255 66.2034
1090 0.0416107 67.2844
1100 0.0416558 68.024
1110 0.0419081 69.0646
1120 0.0419414 69.7066
1130 0.0423087 71.0363
1140 0.0426056 72.1738
1150 0.0427313 73.0279
1160 0.0430676 74.2486
1170 0.043219 75.1578
1180 0.0435064 76.3538
1190 0.0435072 77.0512
1200 0.0436489 77.9132
1210 0.04393 79.1179
1220 0.0442927 80.4799
1230 0.0445038 81.5309
1240 0.0444307 82.0191
1250 0.0446505 83.1392
1260 0.0448443 84.1727
1270 0.0450529 85.2851
1280 0.0450148 85.8882
1290 0.0454169 87.3822
1300 0.0453504 87.889
1310 0.0457014 89.3006
1320 0.0458464 90.2716
1330 0.0459602 91.1392
1340 0.0460179 91.9897
1350 0.0462432 93.1801
1360 0.0464752 94.3911
1370 0.0466276 95.4
1380 0.0469593 96.8771
1390 0.0467797 97.1147
1400 0.0469165 98.1492
1410 0.0472023 99.4552
1420 0.047245 100.254
1430 0.0474108 101.364
1440 0.0475038 102.276
1450 0.0476702 103.397
1460 0.0478946 104.554
1470 0.0479228 105.382
1480 0.0479662 106.245
1490 0.0482524 107.651
1500 0.0483563 108.512
1510 0.0486172 109.924
1520 0.0485071 110.402
1530 0.0489146 112.112
1540 0.0488488 112.694
1550 0.048954 113.622
1560 0.0492714 115.197
1570 0.0492656 115.922
1580 0.0492241 116.563
1590 0.0493517 117.605
1600 0.0495325 118.878
1610 0.0498353 120.302
1620 0.0498587 121.107
1630 0.049945 122.066
1640 0.0500851 123.209
1650 0.0503224 124.598
1660 0.0503205 125.348
1670 0.0504858 126.568
1680 0.0505904 127.64
1690 0.0504477 127.935
1700 0.050924 130.009
1710 0.0507766 130.293
1720 0.0509115 131.453
1730 0.0512874 133.347
1740 0.0512029 133.793
1750 0.0513065 134.885
1760 0.0515187 136.164
1770 0.0515161 136.981
1780 0.0516038 138.04
1790 0.0515698 138.671
1800 0.051754 139.995
1810 0.0519314 141.253
1820 0.0518846 141.956
1830 0.0520779 143.318
1840 0.0520395 144.045
1850 0.0522915 145.423
1860 0.0522522 146.149
1870 0.0526425 148.083
1880 0.0527451 149.269
1890 0.0526439 149.719
1900 0.0526982 150.611
1910 0.0528787 151.921
1920 0.0527527 152.402
1930 0.0528611 153.561
1940 0.0529083 154.492
1950 0.0529845 155.563
1960 0.0532185 157.048
1970 0.0534207 158.553
1980 0.0531973 158.634
1990 0.0533084 159.712
2000 0.0533681 160.691
2010 0.0535983 162.349
2020 0.0533224 162.367
2030 0.0540236 165.366
2040 0.0537355 165.29
2050 0.0542195 167.647
2060 0.0539966 167.768
2070 0.0538683 168.069
2080 0.0540957 169.59
2090 0.0544664 171.569
2100 0.0541165 171.224
2110 0.0542149 172.512
2120 0.0544295 173.957
2130 0.0544561 175.022
2140 0.0543825 175.492
2150 0.0551779 179.052
2160 0.0547184 178.273
2170 0.0551425 180.647
2180 0.0550054 180.968
2190 0.0551735 182.349
2200 0.0548137 182.036
2210 0.0553682 184.653
2220 0.0549766 184.172
2230 0.0551033 185.533
2240 0.0549984 185.895
